country_name,year,qol
Australia,2020,186.2
Australia,2021,181.5
Australia,2022,183.8
Australia,2023,183
Australia,2024,163.8
Australia,2025,192.2
Australia,2026,189.6
Brazil,2020,105.6
Brazil,2021,104.7
Brazil,2022,107
Brazil,2023,105.2
Brazil,2024,109.1
Brazil,2025,117.9
Brazil,2026,117.8
Germany,2020,179.8
Germany,2021,176.8
Germany,2022,180.3
Germany,2023,179
Germany,2024,176.5
Germany,2025,190.2
Germany,2026,196.3
India,2020,108.6
India,2021,104.5
India,2022,111
India,2023,117.9
India,2024,111.8
India,2025,124
India,2026,122.3
Japan,2020,168
Japan,2021,162.3
Japan,2022,169.5
Japan,2023,176.3
Japan,2024,177.6
Japan,2025,185.2
Japan,2026,185.6
United Kingdom,2020,162.7
United Kingdom,2021,159
United Kingdom,2022,161.7
United Kingdom,2023,166.4
United Kingdom,2024,160.3
United Kingdom,2025,174.5
United Kingdom,2026,175.9
United States,2020,172.1
United States,2021,167
United States,2022,170.7
United States,2023,172.7
United States,2024,174
United States,2025,188.8
United States,2026,186